exam|choice
"During a routine inspection, a technician discovered that software that was installed on a computer was secretly collecting data about websites that were visited by users of the computer. Which type of threat is affecting this computer?"|"spyware"
"Which term refers to a network that provides secure access to the corporate offices by suppliers, customers and collaborators?"|"extranet"
"A large corporation has modified its network to allow users to access network resources from their personal laptops and smart phones. Which networking trend does this describe?"|"bring your own device"
"What is an ISP?"|"It is an organization that enables individuals and businesses to connect to the Internet."
"An employee at a branch office is creating a quote for a customer. In order to do this, the employee needs to access confidential pricing information from internal servers at the Head Office. What type of network would the employee access?"|"an intranet"
"Which statement describes the use of powerline networking technology?"|"A device connects to an existing home LAN using an adapter and an existing electrical outlet."
"A networking technician is working on the wireless network at a medical clinic. The technician accidentally sets up the wireless network so that patients can see the medical records data of other patients. Which of the four network characteristics has been violated in this situation?"|"security"
"What two criteria are used to help select a network medium from various network media? (Choose two.)"|"the distance the selected medium can successfully carry a signal","the environment where the selected medium is to be installed"
"What type of network traffic requires QoS?"|"video conferencing"
"A user is implementing security on a small office network. Which two actions would provide the minimum security requirements for this network? (Choose two.)"|"implementing a firewall","installing antivirus software"
"Passwords can be used to restrict access to all or parts of the Cisco IOS. Select the modes and interfaces that can be protected with passwords. (Choose three.)"|"VTY interface","console interface","privileged EXEC mode"
"Which interface allows remote management of a Layer 2 switch?"|"the switch virtual interface"
"What function does pressing the Tab key have when entering a command in IOS?"|"It completes the remainder of a partially typed word in a command."
"While trying to solve a network issue, a technician made multiple changes to the current router configuration file. The changes did not solve the problem and were not saved. What action can the technician take to discard the changes and work with the file in NVRAM?"|"Issue the reload command without saving the running configuration."
"An administrator uses the Ctrl-Shift-6 key combination on a switch after issuing the ping command. What is the purpose of using these keystrokes?"|"to interrupt the ping process"
"A technician configures a switch with these commands:<prompt>SwitchA(config)# interface vlan 1</br>SwitchA(config-if)# ip address 192.168.1.1 255.255.255.0</br>SwitchA(config-if)# no shutdown</br>What is the technician configuring?</prompt>"|"SVI"
"Which command or key combination allows a user to return to the previous level in the command hierarchy?"|"exit"
"What are two characteristics of RAM on a Cisco device? (Choose two.)"|"The configuration that is actively running on the device is stored in RAM.","The contents of RAM are lost during a power cycle."
"Which two host names follow the guidelines for naming conventions on Cisco IOS devices? (Choose two.)"|"RM-3-Switch-2A4","SwBranch799"
"How is SSH different from Telnet?"|"SSH provides security to remote sessions by encrypting messages and using user authentication. Telnet is considered insecure and sends messages in plaintext."
"What are three characteristics of an SVI? (Choose three.)"|"It is not associated with any physical interface on a switch.","It provides a means to remotely manage a switch.","It is associated with VLAN1 by default."
"What command is used to verify the condition of the switch interfaces, including the status of the interfaces and a configured IP address?"|"show ip interface brief"
"In the show running-config command, which part of the syntax is represented by running-config?"|"a keyword"
"After making configuration changes on a Cisco switch, a network administrator issues a copy running-config startup-config command. What is the result of issuing this command?"|"The new configuration will be loaded if the switch is restarted."
"What command will prevent all unencrypted passwords from displaying in plain text in a configuration file?"|"(config)# service password-encryption"
"A network administrator enters the service password-encryption command into the configuration mode of a router. What does this command accomplish?"|"This command prevents someone from viewing the running configuration passwords."
"What method can be used by two computers to ensure that packets are not dropped because too much data is being sent too quickly?"|"flow control"
"Which statement accurately describes a TCP/IP encapsulation process when a PC is sending data to the network?"|"Segments are sent from the transport layer to the internet layer."
"What three application layer protocols are part of the TCP/IP protocol suite? (Choose three.)"|"DHCP","DNS","FTP"
"Which name is assigned to the transport layer PDU?"|"segment"
"When IPv4 addressing is manually configured on a web server, which property of the IPv4 configuration identifies the network and host portion for an IPv4 address?"|"subnet mask"
"What process involves placing one PDU inside of another PDU?"|"encapsulation"
"What layer is responsible for routing messages through an internetwork in the TCP/IP model?"|"internet"
"Which PDU format is used when bits are received from the network medium by the NIC of a host?"|"frame"
"Which method allows a computer to react accordingly when it requests data from a server and the server takes too long to respond?"|"response timeout"
"A web client is receiving a response for a web page from a web server. From the perspective of the client, what is the correct order of the protocol stack that is used to decode the received transmission?"|"Ethernet, IP, TCP, HTTP"
"Which two OSI model layers have the same functionality as a single layer of the TCP/IP model? (Choose two.)"|"data link","physical"
"At which layer of the OSI model would a logical address be added during encapsulation?"|"network layer"
"What is a characteristic of multicast messages?"|"They are sent to a select group of hosts."
"Which statement is correct about network protocols?"|"They define how messages are exchanged between the source and the destination."
"What is an advantage of network devices using open standard protocols?"|"A client host and a server running different operating systems can successfully exchange data."
"Which device performs the function of determining the path that messages should take through internetworks?"|"a router"
"Why would a Layer 2 switch need an IP address?"|"to enable the switch to be managed remotely"
"What term describes a network owned by one organization that provides safe and secure access to individuals who work for a different organization?"|"extranet"
"What term describes storing personal files on servers over the internet to provide access anywhere, anytime, and on any device?"|"cloud"
"What term describes a network where one computer can be both client and server?"|"peer-to-peer"
"What term describes a type of network used by people who work from home or from a small remote office?"|"SOHO network"
"What term describes a computing model where server software runs on dedicated computers?"|"client/server"
"What term describes a type of network used by people who work from home or from a small remote office?"|"SOHO network"
"What term describes a technology that allows devices to connect to the LAN using an electrical outlet?"|"powerline networking"
"What term describes a policy that allows network devices to manage the flow of data to give priority to voice and video?"|"quality of service"
"What term describes a private collection of LANs and WANs that belongs to an organization?"|"intranet"
"What term describes the ability to use personal devices across a business or campus network?"|"BYOD"
"At which OSI layer is a source IP address added to a PDU during the encapsulation process?"|"network layer"
"At which OSI layer is a destination port number added to a PDU during the encapsulation process?"|"transport layer"
"At which OSI layer is data added to a PDU during the encapsulation process?"|"application layer"
"At which OSI layer is a source IP address added to a PDU during the encapsulation process?"|"network layer"
"At which OSI layer is data added to a PDU during the encapsulation process?"|"application layer"
"At which OSI layer is a destination IP address added to a PDU during the encapsulation process?"|"network layer"
"At which OSI layer is a source MAC address added to a PDU during the encapsulation process?"|"data link layer"
"At which OSI layer is a source port number added to a PDU during the encapsulation process?"|"transport layer"
"At which OSI layer is a destination MAC address added to a PDU during the encapsulation process?"|"data link layer"
"At which OSI layer is a source port number added to a PDU during the encapsulation process?"|"transport layer"
"What is the purpose of the OSI physical layer?"|"transmitting bits across the local media"
"Why are two strands of fiber used for a single fiber optic connection?"|"They allow for full-duplex connectivity."
"Which characteristic describes crosstalk?"|"the distortion of the transmitted messages from signals carried in adjacent wires"
"Which procedure is used to reduce the effect of crosstalk in copper cables?"|"twisting opposing circuit wire pairs together"
